starting training
2024-06-01 00:05:09.444755: I external/local_xla/xla/service/service.cc:168] XLA service 0x7f8dc0d3e9d0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2024-06-01 00:05:09.445001: I external/local_xla/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA RTX A4000, Compute Capability 8.6
2024-06-01 00:05:09.468620: I tensorflow/compiler/mlir/tensorflow/utils/dump_mlir_util.cc:269] disabling MLIR crash reproducer, set env var `MLIR_CRASH_REPRODUCER_DIRECTORY` to enable.
WARNING: All log messages before absl::InitializeLog() is called are written to STDERR
I0000 00:00:1717200309.632330     297 device_compiler.h:186] Compiled cluster using XLA!  This line is logged at most once for the lifetime of the process.
Episode: 46/20000, steps: 50[2300], Total reward: -1.7058554053306578[-2.5], time: 8.5s[6.8m], e: 0.9821574956417962
Episode: 47/20000, steps: 50[2350], Total reward: -1.5401416063308713[-2.2], time: 8.9s[7.0m], e: 0.9817646326435395
Episode: 48/20000, steps: 50[2400], Total reward: 1.4926494121551515[-2.2], time: 7.2s[7.1m], e: 0.9813719267904821
Episode: 49/20000, steps: 50[2450], Total reward: -4.014807927608491[-2.3], time: 10.6s[7.3m], e: 0.980979378019766
Episode: 50/20000, steps: 50[2500], Total reward: -2.021358633041382[-2.4], time: 9.0s[7.4m], e: 0.9805869862685581
Episode: 51/20000, steps: 50[2550], Total reward: 1.7320633411407478[-2.0], time: 8.4s[7.6m], e: 0.9801947514740508
Episode: 52/20000, steps: 50[2600], Total reward: -0.2600573539733885[-2.0], time: 8.6s[7.7m], e: 0.9798026735734612
Episode: 53/20000, steps: 50[2650], Total reward: -0.2849322557449344[-2.1], time: 7.8s[7.8m], e: 0.9794107525040319
Episode: 54/20000, steps: 50[2700], Total reward: -9.936169245839118[-2.6], time: 9.4s[8.0m], e: 0.9790189882030303
Episode: 55/20000, steps: 50[2750], Total reward: -1.6696237802505494[-2.4], time: 9.2s[8.2m], e: 0.9786273806077492
Episode: 56/20000, steps: 50[2800], Total reward: -0.5699991703033465[-2.6], time: 11.9s[8.4m], e: 0.9782359296555062
Episode: 57/20000, steps: 50[2850], Total reward: 1.8417936325073245[-2.3], time: 10.1s[8.5m], e: 0.9778446352836441
Episode: 58/20000, steps: 50[2900], Total reward: 2.0041117191314686[-2.1], time: 10.6s[8.7m], e: 0.9774534974295307
Episode: 59/20000, steps: 50[2950], Total reward: 2.6639858722686762[-1.5], time: 8.8s[8.8m], e: 0.9770625160305589
Episode: 60/20000, steps: 50[3000], Total reward: -0.5701115846633911[-1.4], time: 8.7s[9.0m], e: 0.9766716910241467
Episode: 61/20000, steps: 50[3050], Total reward: -3.4163282394409182[-1.4], time: 9.9s[9.2m], e: 0.9762810223477372
Episode: 62/20000, steps: 50[3100], Total reward: -3.270455890893936[-1.4], time: 8.8s[9.3m], e: 0.9758905099387981
Episode: 63/20000, steps: 50[3150], Total reward: -4.900392627716063[-1.6], time: 8.9s[9.4m], e: 0.9755001537348227
Episode: 64/20000, steps: 50[3200], Total reward: -1.690041947364807[-1.2], time: 9.9s[9.6m], e: 0.9751099536733288
Episode: 65/20000, steps: 50[3250], Total reward: -10.402374801039697[-1.8], time: 7.8s[9.7m], e: 0.9747199096918595
Episode: 66/20000, steps: 50[3300], Total reward: -2.969824182987212[-1.9], time: 8.3s[9.9m], e: 0.9743300217279828
Episode: 67/20000, steps: 50[3350], Total reward: -1.3290425419807437[-1.9], time: 8.2s[10.0m], e: 0.9739402897192916
Episode: 68/20000, steps: 50[3400], Total reward: -5.269776034355164[-2.2], time: 9.0s[10.2m], e: 0.973550713603404
Episode: 69/20000, steps: 50[3450], Total reward: 1.3373338460922237[-1.9], time: 8.0s[10.3m], e: 0.9731612933179626
Episode: 70/20000, steps: 50[3500], Total reward: 0.5667751908302312[-1.8], time: 6.8s[10.4m], e: 0.9727720288006355
Episode: 71/20000, steps: 50[3550], Total reward: -11.593735671043397[-2.5], time: 8.1s[10.5m], e: 0.9723829199891153
Episode: 72/20000, steps: 50[3600], Total reward: -0.6311815559864047[-2.5], time: 8.9s[10.7m], e: 0.9719939668211197
Episode: 73/20000, steps: 50[3650], Total reward: -3.1028829962015165[-2.6], time: 9.4s[10.9m], e: 0.9716051692343913
Episode: 74/20000, steps: 50[3700], Total reward: -2.746703016757966[-2.3], time: 7.5s[11.0m], e: 0.9712165271666976
Episode: 75/20000, steps: 50[3750], Total reward: 0.028126239776610995[-2.2], time: 9.0s[11.1m], e: 0.9708280405558309
Episode: 76/20000, steps: 50[3800], Total reward: 3.1800188779830925[-2.0], time: 7.0s[11.2m], e: 0.9704397093396087
Episode: 77/20000, steps: 50[3850], Total reward: -3.7208112657070163[-2.3], time: 10.1s[11.4m], e: 0.9700515334558728
Episode: 78/20000, steps: 50[3900], Total reward: 1.2289670467376699[-2.3], time: 7.4s[11.5m], e: 0.9696635128424905
Episode: 79/20000, steps: 50[3950], Total reward: -0.5415989160537721[-2.5], time: 9.1s[11.7m], e: 0.9692756474373536
Episode: 80/20000, steps: 50[4000], Total reward: -11.426717972755434[-3.0], time: 7.9s[11.8m], e: 0.9688879371783787
Episode: 81/20000, steps: 50[4050], Total reward: 2.676132237911225[-2.7], time: 8.3s[12.0m], e: 0.9685003820035074
Episode: 82/20000, steps: 50[4100], Total reward: -7.093154108524324[-2.9], time: 7.3s[12.1m], e: 0.968112981850706
Episode: 83/20000, steps: 50[4150], Total reward: -2.895876407623292[-2.8], time: 8.0s[12.2m], e: 0.9677257366579658
Episode: 84/20000, steps: 50[4200], Total reward: 0.46881717443465964[-2.7], time: 8.9s[12.4m], e: 0.9673386463633027
Episode: 85/20000, steps: 50[4250], Total reward: -5.254089057445527[-2.5], time: 8.2s[12.5m], e: 0.9669517109047574
Episode: 86/20000, steps: 50[4300], Total reward: 1.5223666429519656[-2.2], time: 11.1s[12.7m], e: 0.9665649302203956
Episode: 87/20000, steps: 50[4350], Total reward: -2.1371924161911013[-2.3], time: 9.2s[12.8m], e: 0.9661783042483074
Episode: 88/20000, steps: 50[4400], Total reward: -4.170539712905883[-2.2], time: 8.6s[13.0m], e: 0.9657918329266081
Episode: 89/20000, steps: 50[4450], Total reward: 2.4358266353607183[-2.2], time: 10.0s[13.1m], e: 0.9654055161934375
