Episode,Steps,Total Reward
15000,588667,-0.9394036710262299
16000,589671,-0.05324985980987549
17000,590678,-0.0574592113494873
18000,591682,-0.7172650814056396
19000,592682,-0.46112784147262575
20000,593684,0.10451302528381348
